date,AAL,FRES,SKY,BNZL,STJ,BP,BARC,EZJ,GFS,RRS,NXT,RTO,GSK,RIO,MKS,BLND,SBRY,IMB,RB,PPB,LLOY,AAL_log_returns,FRES_log_returns,SKY_log_returns,BNZL_log_returns,STJ_log_returns,BP_log_returns,BARC_log_returns,EZJ_log_returns,GFS_log_returns,RRS_log_returns,NXT_log_returns,RTO_log_returns,GSK_log_returns,RIO_log_returns,MKS_log_returns,BLND_log_returns,SBRY_log_returns,IMB_log_returns,RB_log_returns,PPB_log_returns,LLOY_log_returns
2017-09-20,1294.0,1442.0,927.5,2217.438965,1123.0,443.339172,184.158539,1200.037476,275.5,7470.0,5009.233398,294.600006,1408.829224,3391.383301,340.329315,581.675354,240.866577,3124.230713,6788.0,7285.0,65.709999,0.00193384930026,0.00347344134934,0.00107873883098,-0.000447909987997,-0.0115096569061,0.00720912124962,-0.0128276012838,0.00162731250748,-0.00795377977192,0.00268099620007,0.0183126684278,0.00442264555022,0.00137651548721,-0.00313169881701,0.0232567451894,0.00168063002639,0.00451462063938,-0.00382875301875,-0.00176627363544,0.0103484718129,-0.00440361676738
2017-09-21,1331.5,1410.0,924.0,2185.647705,1123.0,447.295837,188.616379,1168.817017,272.100006,7300.0,5024.053711,291.299988,1422.394287,3351.251465,335.928528,581.187012,231.10173,3082.043701,6704.0,7180.0,67.449997,0.0285679213703,-0.0224413387477,-0.00378070794977,-0.0144407106563,0.0,0.00888513308018,0.0239181853831,-0.0263606440276,-0.0124179860577,-0.0230206623673,0.00295428722166,-0.0112648913637,0.00958259310573,-0.0119040617719,-0.0130153223872,-0.000839884043671,-0.0413851290941,-0.0135951908305,-0.0124519634992,-0.0145180569962,0.0261354334652
2017-09-22,1333.0,1437.0,924.5,2193.595459,1120.0,450.287445,189.755615,1161.987549,273.799988,7420.0,5078.394531,292.899994,1428.207886,3384.614258,337.493256,585.094116,230.115372,3094.508057,6807.0,7275.0,66.910004,0.001125893672,0.0189679116011,0.000540944631211,0.00362976454198,-0.00267499522306,0.00666597019881,0.00602180929855,-0.00586018059403,0.00622820388526,0.0163047183305,0.0107580218464,0.00547765754163,0.00407887995243,0.00990605913103,0.00464705051854,0.00670007383451,-0.00427718413994,0.00403601955622,0.0152471018955,0.0131443906575,-0.00803807657212
2017-09-25,1288.5,1437.0,922.0,2215.451904,1118.0,455.884674,187.922943,1151.255493,272.399994,7490.0,5132.735352,296.200012,1434.021484,3322.724121,339.644745,587.047729,231.79216,3093.069824,6827.0,7355.0,65.870003,-0.0339533127844,0.0,-0.00270780641586,0.00991444010288,-0.00178729183972,0.0123536884785,-0.00970498006791,-0.00927883386612,-0.00512630166486,0.00938976276666,0.010643501766,0.0112037118524,0.00406225817278,-0.0184550024569,0.00635472126305,0.00333337113261,0.00726036680862,-0.000464905082481,0.00293384352699,0.0109365573153,-0.0156653448939
2017-09-26,1286.0,1422.0,917.5,2205.51709,1110.0,455.064392,186.536072,1169.792603,272.0,7475.0,5073.454102,295.299988,1435.959351,3304.350342,339.742554,590.466431,234.652573,3139.571533,6790.0,7305.0,64.989998,-0.00194213516079,-0.0104933045805,-0.00489261606708,-0.00449444027618,-0.00718138134107,-0.00180096575059,-0.00740737561136,0.0159733425826,-0.00146949919872,-0.00200466439128,-0.0116168670356,-0.00304321106523,0.00135044427589,-0.00554510718212,0.000287968170596,0.00580660207197,0.0122649036348,0.0149223050103,-0.00543441111222,-0.00682130083442,-0.0134497694671
2017-09-27,1302.0,1399.0,913.5,2205.51709,1133.0,456.511963,188.467789,1193.208008,273.799988,7300.0,5196.956055,293.100006,1439.835083,3311.603271,343.263214,587.536072,235.145752,3168.814697,6805.0,7300.0,67.199997,0.0123648736626,-0.0163066089153,-0.00436919368804,0.0,0.0205089654773,0.0031759319827,0.0103024579585,0.0198189709336,0.00659574614838,-0.0236897934228,0.0240512117743,-0.00747787440196,0.00269538164139,0.00219259504229,0.0103094195947,-0.00497515732422,0.00209957337938,0.00927130598575,0.00220674998127,-0.000684674479999,0.0334397703409
2017-09-28,1305.0,1402.0,915.0,2238.302002,1143.0,459.407104,190.399521,1171.743896,277.399994,7350.0,5192.016113,297.100006,1435.959351,3304.350342,344.730133,584.117371,233.468964,3041.294922,6753.0,7300.0,67.220001,0.00230154581368,0.00214204099029,0.00164064217824,0.014755521901,0.00878741405904,0.00632179016247,0.0101974438876,-0.0181523244828,0.0130626186728,0.0068259392865,-0.00095102697378,0.0135549139231,-0.00269543472677,-0.00219257455319,0.00426430953667,-0.0058357194066,-0.00715640746057,-0.0410741902888,-0.00767078017816,0.0,0.000297621299978
2017-09-29,1339.5,1405.0,915.0,2252.210693,1146.0,460.613373,191.538757,1187.354126,278.299988,7315.0,5196.956055,300.600006,1442.257446,3358.50415,345.610291,588.024475,234.652573,3052.800537,6813.0,7410.0,67.730003,0.0260933935642,0.00213752058335,0.0,0.00619467673823,0.00262119248509,0.00262226257473,0.00596552342176,0.0132342735305,0.00323914829642,-0.004773308523,0.000950957008172,0.011711650528,0.00437635788694,0.0162558108568,0.00254997052252,0.00666668079793,0.00505680637434,0.00377596891485,0.00884566828609,0.0149561287835,0.00755843799561
2017-10-02,1363.5,1414.0,917.0,2257.177979,1141.0,463.218994,190.894836,1248.819458,278.899994,7320.0,5226.59668,302.799988,1473.263306,3435.383301,344.632324,590.466431,236.428009,3035.542236,6821.0,7355.0,67.5,0.0177585352212,0.00638528168201,0.00218343618326,0.00220306264237,-0.00437254598364,0.00564089836553,-0.00336748478003,0.0504712574184,0.00215369835496,0.000683312537149,0.00568724609911,0.00729196472093,0.0212703756988,0.0226328596473,-0.00283368187957,0.00414417590946,0.0075377332978,-0.00566930230707,0.00117352267262,-0.00745007069781,-0.00340169435367
2017-10-03,1397.0,1427.0,917.5,2266.119141,1131.0,469.395233,191.835938,1265.405396,280.100006,7365.0,5256.236816,306.799988,1472.778809,3471.646973,346.001465,593.396851,244.121536,3027.87207,6820.0,7450.0,67.599998,0.0242721866816,0.00915177259594,0.000545114686247,0.00395338051021,-0.00880289915949,0.0132452137768,0.00491778785363,0.013193921186,0.00429339101538,0.00612868508324,0.0056550046429,0.0131235662848,-0.000328892900143,0.0105006573722,0.00396489817649,0.00495064631104,0.0320224426687,-0.00252995779738,-0.000146638180013,0.0128336222842,0.00148031767458
2017-10-04,1430.0,1428.0,920.0,2284.995361,1125.0,468.767975,190.548126,1245.892578,282.200012,7425.0,5182.135742,306.5,1464.05835,3492.438232,343.55658,592.908386,238.302078,3002.943359,6782.0,7530.0,67.599998,0.0233473535627,0.000700466800481,0.00272106123157,0.00829524826258,-0.00531917344779,-0.00133722985629,-0.00673572625965,-0.0155403260142,0.00746934534982,0.00811363849789,-0.014198067598,-0.000978292548098,-0.00593866501004,0.00597097445279,-0.00709121394902,-0.000823479087558,-0.0241270717233,-0.00826714932919,-0.00558742275462,0.0106810079888,0.0
2017-10-05,1473.5,1435.0,925.5,2285.98877,1129.0,473.255402,188.368729,1252.722046,278.600006,7435.0,5108.034668,305.700012,1476.170044,3554.811768,346.294891,595.400818,239.682968,2999.587646,6807.0,7665.0,67.300003,0.0299660861492,0.00489002931863,0.00596042815596,0.000434661807958,0.00354923028499,0.00952733401209,-0.0115034468472,0.00546663161367,-0.012839011848,0.00134592037648,-0.0144025534391,-0.0026134995278,0.00823861733079,0.0177019704133,0.00793885625899,0.00419498514384,0.00577792013064,-0.00111809268128,0.00367941241711,0.0177694279701,-0.00444768043235
2017-10-06,1481.0,1424.0,923.5,2292.943115,1132.0,471.084045,188.418259,1232.233643,281.299988,7430.0,5103.094727,303.799988,1481.014648,3587.690918,341.013916,593.917236,238.696609,3005.340332,6836.0,7685.0,66.599998,0.00507696950808,-0.00769504578784,-0.00216330471449,0.00303748412989,0.00265365093946,-0.0045986850746,0.000262941117398,-0.0164903178811,0.00964457914233,-0.000672745460179,-0.000967553292867,-0.00623472966254,0.00327645824291,0.0092066982761,-0.0153673840687,-0.00249482202344,-0.00412377435714,0.00191600236576,0.00425125239417,0.00260585476644,-0.0104557201266
2017-10-09,1431.0,1428.0,918.0,2287.97583,1124.0,469.298737,186.585602,1205.891357,279.200012,7500.0,5058.633789,304.899994,1475.685669,3507.427246,340.818298,590.950134,235.145752,3005.819824,6938.0,7590.0,66.550003,-0.0343440286815,0.00280510960147,-0.00597338192165,-0.00216868077405,-0.00709223467857,-0.00379698188044,-0.00977413635701,-0.0216094944626,-0.0074932477437,0.00937712658197,-0.00875070597976,0.00361432344653,-0.00360470241867,-0.0226259957999,-0.000573799712583,-0.00500834360719,-0.0149877658114,0.000159489311045,0.0148107279092,-0.0124388067052,-0.000750942796003
2017-10-10,1439.5,1439.0,916.5,2289.962646,1116.0,472.821167,188.220139,1222.477173,280.200012,7535.0,5053.693848,307.0,1468.418579,3490.987793,343.263214,594.411743,236.132095,3039.377441,7090.0,7535.0,67.099998,0.0059223882854,0.00767354853451,-0.00163533817977,0.000867943686899,-0.00714290002361,0.0074777463451,0.00872206594795,0.0136602818966,0.00357524421997,0.00465583102778,-0.000977039686404,0.00686394423246,-0.00493670115247,-0.00469802971929,0.00714804930612,0.0058406163007,0.00418584421277,0.0111023290083,0.0216717459261,-0.00727275758982,0.00823045894504
2017-10-11,1442.0,1444.0,913.5,2293.936523,1130.0,471.566589,188.616379,1257.60022,278.799988,7430.0,4989.473145,305.5,1469.871948,3451.339355,342.187439,598.36792,236.230743,3024.036621,7038.0,7685.0,66.5,0.0017352537252,0.00346857076511,-0.00327867735177,0.00173382565845,0.0124667175114,-0.00265688681975,0.00210302323103,0.0283259935677,-0.00500906258821,-0.0140329729766,-0.0127890836447,-0.0048979469575,0.000989305204712,-0.011422354728,-0.00313887372613,0.00663352338597,0.000417622126406,-0.00506016192958,-0.00736132031307,0.019711561501,-0.00898204743862
2017-10-12,1443.5,1465.0,926.5,2301.884277,1176.0,474.268707,191.241562,1288.820801,278.799988,7515.0,4929.204102,307.200012,1480.045898,3462.943848,342.285248,602.818604,236.723907,3034.583496,7166.0,7735.0,66.300003,0.00103967962787,0.0144382026047,0.0141306566074,0.00345871062018,0.0399011969566,0.00571367889643,0.0138221932575,0.0245224256068,0.0,0.0113752139732,-0.0121527854353,0.00554926414043,0.00689780432731,0.0033566581551,0.000285823014565,0.00741053745151,0.00208541704342,0.00348163815215,0.0180235225707,0.00648513063788,-0.00301200314425
2017-10-13,1469.5,1467.0,931.5,2269.099609,1177.0,473.641418,189.45842,1278.088745,281.299988,7535.0,4852.13916,305.5,1468.903076,3566.899902,343.067596,601.829529,238.400711,3014.928223,7187.0,7725.0,65.900002,0.0178515184671,0.00136425381061,0.00538209499791,-0.0143449278548,0.000849958567414,-0.00132350251079,-0.0093677546829,-0.00836187042296,0.00892707705498,0.00265781232156,-0.0157578643411,-0.00554924272001,-0.00755720632151,0.0295777544379,0.00228311074898,-0.00164208456408,0.00705844629556,-0.00649818498641,0.00292623625137,-0.00129366118927,-0.00605145515874
2017-10-16,1477.0,1435.0,936.0,2203.530273,1183.0,474.316925,187.477158,1256.624634,278.299988,7480.0,4880.791504,305.200012,1471.809937,3595.427246,339.057983,601.335022,240.27478,3000.546387,7020.0,7710.0,65.589996,0.00509084621444,-0.0220546387136,0.00481932470575,-0.0293223597109,0.00508479727432,0.00142520386726,-0.0105125801638,-0.0169365238398,-0.0107220374048,-0.00732601433992,0.00588778452948,-0.000982468947768,0.0019769188948,0.00796593911946,-0.0117563530803,-0.000821987749077,0.00783028174192,-0.00478163314983,-0.02351061441,-0.00194362818729,-0.00471527688205
2017-10-17,1459.5,1413.0,931.0,2211.478027,1157.0,473.448425,189.557495,1283.942505,275.700012,7320.0,4860.042969,305.799988,1468.903076,3587.20752,340.133728,600.840515,244.318802,3015.407471,7035.0,7710.0,66.330002,-0.0119190812111,-0.0154497651383,-0.00535620655864,0.00360030727461,-0.0222231354564,-0.00183273316361,0.0110353631899,0.0215061996132,-0.00938628613949,-0.0216224677861,-0.00426012417302,0.00196395069361,-0.00197695288807,-0.00228875339963,0.00316773261875,-0.000822703586891,0.0166907329112,0.00494056381285,0.00213442789391,0.0,0.011219154112
2017-10-18,1428.0,1401.0,939.5,2230.354004,1164.0,470.939301,190.845306,1284.918213,278.200012,7360.0,4896.599609,312.5,1485.859375,3480.350342,342.676422,609.741821,242.937927,3035.542236,6857.0,7745.0,66.830002,-0.021819036454,-0.00852885656059,0.00908857490867,0.00849928334355,0.00603188155219,-0.00531378062442,0.00677076401189,0.000759670569096,0.00902690831572,0.00544955860823,0.00749371945858,0.0216732621193,0.0114773940295,-0.030241061002,0.00744781084359,0.0147060686722,-0.0056679835543,0.00665507558733,-0.0256276540458,0.00452933600172,0.00750981085002
2017-10-19,1431.0,1418.0,940.0,2240.288818,1167.0,474.944214,190.201401,1263.454102,275.299988,7490.0,4839.294922,314.0,1488.28186,3481.801025,339.057983,603.807617,243.036545,3017.325195,6790.0,7775.0,66.989998,0.00209862156771,0.0120611656457,0.000532008707523,0.00444448273629,0.00257398933172,0.00846819579601,-0.00337968533859,-0.0168457757682,-0.0104789696634,0.0175088234246,-0.0117719732225,0.00478847883642,0.00162897875998,0.000416788010625,-0.0106154652312,-0.00977997481823,0.00040582526708,-0.00601931381971,-0.00981909874827,0.00386598496698,0.00239121890627
2017-10-20,1432.0,1367.0,939.0,2234.327881,1176.0,474.702942,193.86673,1281.015625,280.399994,7395.0,4806.69043,321.600006,1476.170044,3481.317383,339.253571,603.807617,244.318802,3010.613525,6610.0,7750.0,67.0,0.000698560790624,-0.0366288796067,-0.00106438994408,-0.00266435719095,0.00768253952265,-0.000508139492013,0.0190874487162,0.0138038517907,0.0183557402343,-0.0127646932378,-0.00676026986912,0.023915624246,-0.00817141588777,-0.000138888470246,0.000576687452849,0.0,0.00526209548116,-0.00222686328925,-0.0268672984093,-0.00322061288171,0.000149238898302
2017-10-23,1444.0,1385.0,940.0,2241.282227,1170.0,473.786194,193.61908,1287.845093,282.200012,7435.0,4818.546387,321.600006,1472.294312,3467.779053,339.253571,596.884338,243.036545,3023.557373,6600.0,7715.0,67.0,0.00834501907229,0.0130815627053,0.00106444908306,0.00310772052035,-0.00511509831995,-0.00193305767607,-0.00127826340031,0.00531711708754,0.00639890367165,0.00539442617446,0.00246352236718,0.0,-0.00262897764333,-0.00389642664231,0.0,-0.0115322684869,-0.00526212900877,0.0042901863344,-0.00151403062046,-0.00452635344118,0.0
2017-10-24,1445.5,1378.0,939.5,2237.30835,1193.0,478.900909,196.145187,1258.575928,282.0,7435.0,4833.366699,326.299988,1465.511841,3471.646973,337.102081,599.356934,243.036545,2999.587646,6600.0,7505.0,67.400002,0.00103825062979,-0.00506699131802,-0.000532053352799,-0.00177463307045,0.019467363134,0.0107375010848,0.012962365523,-0.0229894965887,-0.000709010113496,0.0,0.00307099847123,0.0145085835829,-0.00461736740544,0.00111481966451,-0.00636200979352,0.00413396628574,0.0,-0.00795924756676,0.0,-0.0275970324874,0.00595236988738
2017-10-25,1415.0,1346.0,937.5,2226.380127,1165.0,470.698059,195.154556,1274.186157,280.600006,7330.0,4836.330566,327.5,1384.605835,3381.229492,335.146179,597.378845,240.866577,2995.272949,6580.0,7495.0,67.940002,-0.0213257707655,-0.0234959702939,-0.00213104905561,-0.0048965094611,-0.0237500350922,-0.0172768570483,-0.00506327720359,0.0123268421739,-0.00497689470649,-0.0142230363563,0.000613024632912,0.0036708607804,-0.0567890591919,-0.0263897124678,-0.0058189923875,-0.00330582703464,-0.00896863546222,-0.00143947440665,-0.0030349008739,-0.00133335031569,0.00798001233488
2017-10-26,1431.5,1328.0,939.5,2273.073486,1184.0,472.869385,180.69133,1282.966919,283.0,7350.0,4831.390625,330.5,1337.128174,3447.954834,338.569031,587.983032,241.458389,3018.763184,6640.0,7560.0,68.93,0.0115933511406,-0.0134631805122,0.00213109701872,0.0207558292896,0.0161774586886,0.00460243457928,-0.0770016163588,0.00686761457473,0.00851665809751,0.00272474670783,-0.00102196680382,0.00911857932806,-0.0348913446069,0.0195418335497,0.0101612173021,-0.0158534180373,0.00245400913991,0.00781182944775,0.00907723419368,0.00863508600742,0.0144665203989
2017-10-27,1418.5,1302.0,935.0,2303.871338,1176.0,480.493195,182.078217,1241.98999,280.899994,7410.0,4823.486816,332.600006,1324.047607,3437.317383,338.569031,584.026855,239.682968,3045.130371,6845.0,7550.0,68.910004,-0.00912285037339,-0.0197725314647,-0.0048012775369,0.01345800329,-0.00677971309051,0.0159938745201,0.00764610338956,-0.0324603915215,-0.00744820898399,0.00813007447869,-0.00163724867161,0.00633387314156,-0.00983071606606,-0.00308990525082,0.0,-0.00675114849582,-0.00738005433232,0.00869654025882,0.0304065365344,-0.00132362183649,-0.000290137890261
2017-10-30,1413.5,1337.0,941.0,2309.832275,1173.0,484.063843,181.781021,1266.380981,282.100006,7530.0,4889.683594,333.799988,1329.861084,3446.50415,337.297668,584.521362,239.387054,3011.093018,6786.0,7605.0,68.07,-0.00353106670082,0.026526728645,0.00639665313065,0.00258397706784,-0.00255427858792,0.00740379281342,-0.00163354713004,0.0194483064115,0.00426288507879,0.0160646140575,0.0136305307969,0.00360137643293,0.00438110530376,0.00266910693608,-0.0037621606607,0.000846385315526,-0.00123535376042,-0.0112405987456,-0.0086567895487,0.0072583546862,-0.0122647704557
2017-10-31,1420.0,1302.0,943.0,2329.70166,1177.0,492.36322,184.208069,1306.382324,281.0,7395.0,4862.019043,335.799988,1315.327148,3431.515137,336.515289,594.411743,239.189789,2943.977295,6735.0,7705.0,68.290001,0.00458795763552,-0.0265267454088,0.00212312699296,0.00856535509229,0.00340429972857,0.0169998370111,0.0132630951703,0.0310985129327,-0.00390695827082,-0.018090961501,-0.0056737982668,0.00597369996831,-0.0109890885651,-0.00435853749514,-0.00232226867229,0.0167788919061,-0.000824373913929,-0.0225416794419,-0.00754387350753,0.01306356024,0.00322679057717
2017-11-01,1468.5,1322.0,949.0,2285.98877,1182.0,496.030334,182.375412,1316.138672,284.200012,7470.0,4417.412598,334.5,1309.51355,3532.08667,321.552521,586.499451,233.17305,2946.85376,6576.0,8050.0,68.629997,0.0335845649242,0.0152441663668,0.00634252047166,-0.0189415682107,0.00423914426938,0.00742035871372,-0.00999866984785,0.00744047435001,0.0113235898316,0.0100908838212,-0.0958996266127,-0.00387883465737,-0.00442965980619,0.0288869254291,-0.0454827062786,-0.0134005350992,-0.025476437062,0.000976562325377,-0.0238911639899,0.0438025854528,0.00496630417183
2017-11-02,1496.0,1307.0,950.5,2295.923584,1200.0,499.986969,183.266968,1297.601563,282.600006,6930.0,4446.064941,327.0,1316.296143,3620.08667,322.041504,593.422729,233.764862,2943.498047,6582.0,8150.0,67.940002,0.0185534041375,-0.0114113213494,0.00157934811432,0.0043365964666,0.0151136023924,0.00794500578195,0.00487662432715,-0.0141845857725,-0.00564574496821,-0.075035199523,0.00646523293108,-0.0226767230779,0.00516615668312,0.0246091969311,0.00151959771756,0.0117353321984,0.00253486959264,-0.00113939563744,0.000912011892069,0.0123457992449,-0.0101046944037
2017-11-03,1485.0,1290.0,946.5,2304.864746,1182.0,498.732422,181.533371,1281.991211,286.5,6945.0,4419.388672,326.700012,1318.718384,3602.196533,321.063538,593.917236,231.890808,2912.81665,6583.0,8265.0,67.389999,-0.00738011440262,-0.0130921956152,-0.00421720603481,0.00388676580042,-0.0151136228815,-0.00251232995652,-0.00950446072966,-0.0121031329036,0.0137060247362,0.00216214405373,-0.00601805467159,-0.000917796161957,0.00183854263742,-0.00495413225144,-0.00304141757078,0.000832925958093,-0.0080491323024,-0.0104781258851,0.000151861109771,0.0140118207783,-0.00812838971615
2017-11-06,1508.0,1306.0,939.5,2308.838623,1182.0,502.882111,180.295074,1287.845093,279.600006,7020.0,4363.071777,325.0,1318.233887,3649.097656,323.801849,593.917236,231.10173,2957.879883,6546.0,8360.0,67.800003,0.0153695484623,0.0123268421739,-0.00742316851392,0.00172263931017,0.0,0.00828602630645,-0.00684470590204,0.00455579906702,-0.0243784897029,0.0107412748039,-0.0128250056878,-0.0052171908319,-0.000367470551282,0.0129361245781,0.00849266350269,0.0,-0.00340857217088,0.0153521737084,-0.0056363940239,0.0114287212491,0.00606565130875
2017-11-07,1489.0,1292.0,930.0,2288.969238,1179.0,506.356262,179.651169,1273.210449,266.5,6920.0,4315.646973,324.5,1301.277588,3610.41626,320.574554,588.477539,227.846771,2972.261963,6526.0,8355.0,67.300003,-0.0126795144752,-0.0107776466757,-0.0101632205769,-0.00864302180707,-0.00254131131805,0.00688478117809,-0.0035777837038,-0.0114287454635,-0.0479857698083,-0.0143474675715,-0.0109290676191,-0.00153964012861,-0.0129463644698,-0.0106568522751,-0.0100169116631,-0.00920123048127,-0.0141846463084,0.00485052587464,-0.00305995135568,-0.000598251936026,-0.00740197161213
2017-11-08,1502.5,1312.0,934.0,2300.890869,1165.0,505.777222,177.768967,1231.257935,260.5,7005.0,4351.21582,325.0,1320.171875,3648.614014,325.757751,589.961121,230.312637,3032.186523,6530.0,8500.0,66.82,0.00902560912073,0.0153613304719,0.00429184781387,0.00519473804161,-0.0119455615059,-0.00114416936412,-0.0105322767049,-0.0335052460432,-0.0227713566273,0.0122083798051,0.00820811279118,0.00153959426098,0.0144154075533,0.0105242496356,0.0160391572863,0.00251786550507,0.0107643902302,0.0199607238173,0.000612786388956,0.0172059703618,-0.00715784821659
2017-11-09,1484.0,1323.0,920.0,2292.943115,1146.0,503.764008,177.768967,1239.06311,259.899994,6950.0,4316.635254,323.100006,1323.119751,3556.74585,318.031891,591.444641,226.071335,3024.036621,6538.0,8570.0,66.68,-0.0123892603442,0.00834915693849,-0.0151027915999,-0.00346018793061,-0.0164434798062,-0.00398840103298,0.0,0.00631918432191,-0.0023059588857,-0.00788252707571,-0.00797907356173,-0.00586329819635,0.00223042001016,-0.0255013220012,-0.024002334103,0.00251144450158,-0.0185870658606,-0.00269143050537,0.00122436403763,0.00820161029696,-0.00209736078978
2017-11-10,1485.0,1298.0,918.0,2142.928223,1146.0,496.226166,177.471771,1243.941284,258.600006,6905.0,4326.515137,320.600006,1295.114624,3573.185547,312.164154,586.499451,229.03038,3050.403564,6544.0,8560.0,66.480003,0.000673663162161,-0.0190772805363,-0.00217626686208,-0.0676629915833,0.0,-0.0150761064142,-0.00167319003958,0.003929276485,-0.0050144540146,-0.00649584550411,0.00228620297275,-0.00776760745794,-0.0213931780308,0.00461145257577,-0.0186224672943,-0.00839637126774,0.0130040217191,0.00868129450828,0.000917252327781,-0.00116756150965,-0.00300387246534
2017-11-13,1497.0,1294.0,910.0,2087.293457,1128.0,496.226166,177.224106,1228.331055,254.5,6935.0,4272.174316,322.100006,1296.09729,3577.053711,307.176575,586.499451,224.197281,2996.231689,6449.0,8550.0,66.43,0.0080483648926,-0.00308643747121,-0.00875281076878,-0.0263050179929,-0.0158314369619,0.0,-0.0013964981772,-0.0126283867285,-0.0159816257656,0.00433529075235,-0.0126394936815,0.004667814821,0.000758479407523,0.00108195398934,-0.0161064583808,0.0,-0.02132826671,-0.0179184880108,-0.014623533003,-0.00116893392988,-0.000752434018068
2017-11-14,1455.0,1283.0,900.0,2101.202148,1143.0,492.408295,179.007248,1233.209229,254.899994,6990.0,4276.126465,324.799988,1288.236206,3473.581055,303.558105,587.983032,225.676804,2964.591309,6417.0,8535.0,66.650002,-0.0284571778029,-0.00853709224612,-0.0110498359427,0.00664145732298,0.0132102742791,-0.00772357732058,0.0100112222135,0.00396347325295,0.00157042150386,0.00789947248995,0.000924636493437,0.00834750197828,-0.00608365796506,-0.0293534174562,-0.0118497163057,0.00252630817704,0.00657750852406,-0.0106161888689,-0.00497437873855,-0.0017559438711,0.00330628152005
2017-11-15,1437.5,1325.0,900.0,2132.0,1135.0,484.576752,180.69133,1220.525879,253.0,7045.0,4225.737793,322.0,1284.796875,3443.119629,301.699982,589.961121,224.000015,2954.044922,6355.0,8415.0,66.25,-0.0121004180983,0.0322114229202,0.0,0.0145508795977,-0.00702374381945,-0.0160323809832,0.00936389900744,-0.0103380959481,-0.00748177757487,0.00783761497587,-0.0118536977097,-0.00865805242211,-0.00267338147387,-0.00880813039839,-0.00613996991888,0.00335855898447,-0.00745775690302,-0.00356378639117,-0.00970883201808,-0.0141595574096,-0.00601961370558
2017-11-16,1439.0,1295.0,903.0,2155.0,1142.0,480.8078,183.712753,1263.454102,257.600006,7025.0,4268.222656,323.5,1295.114624,3431.998779,303.600006,611.71991,229.100006,2992.672852,6385.0,8820.0,66.059998,0.00104289490264,-0.0229017343372,0.00332778692245,0.0107301892713,0.00614847103134,-0.00780821498483,0.0165832228959,0.0345674678683,0.0180184878409,-0.00284294690937,0.0100036691874,0.00464752502739,0.00799857918173,-0.00323508377187,0.00627795979381,0.0362178310752,0.0225124638528,0.0129915485159,0.00470958044752,0.0470060668886,-0.00287205749191
2017-11-17,1434.0,1296.0,940.0,2159.0,1155.0,482.716766,183.266968,1249.795166,257.399994,7075.0,4252.414063,322.799988,1285.288208,3429.097656,301.399994,617.159607,227.600006,2980.940674,6393.0,8780.0,65.989998,-0.00348070333712,0.000771939754486,0.0401572920382,0.00185448722914,0.011319228448,0.00396252330393,-0.00242951349355,-0.0108696538955,-0.000776771339588,0.00709218159318,-0.00371064897627,-0.00216623162851,-0.00761624379084,-0.00084567052545,-0.00727281766012,0.00885311234742,-0.00656885979697,-0.00392802106217,0.00125210545957,-0.0045454534702,-0.00106021319516
2017-11-20,1452.0,1284.0,955.0,2190.0,1158.0,481.639923,186.981842,1246.868164,258.899994,7080.0,4318.611328,327.0,1290.692749,3430.548096,301.0,611.71991,224.800003,2959.431885,6380.0,8700.0,66.120003,0.0124741345644,-0.00930241681635,0.0158314928412,0.0142564130947,0.00259408354759,-0.00223331502639,0.0200676396489,-0.00234473240562,0.00581063143909,0.000706423074007,0.0154470233247,0.0129272984341,0.00419605337083,0.000422865152359,-0.00132797879633,-0.00885317008942,-0.0123785790056,-0.00724159739912,-0.00203554239124,-0.00915340799838,0.00196811463684
2017-11-21,1457.5,1293.0,948.5,2158.0,1150.0,483.891479,187.427628,1310.28479,260.0,7165.0,4287.98291,326.100006,1280.375122,3455.20752,299.899994,608.752808,226.699997,3060.132813,6401.0,8740.0,65.720001,0.00378071912564,0.00698493560776,-0.00682952255011,-0.0147197050974,-0.00693245045841,0.0046638995409,0.0023812293075,0.0496096014977,0.00423973798752,0.0119341900572,-0.00711744697765,-0.00275609851815,-0.00802599918097,0.00716248899698,-0.00366117386147,-0.00486224889755,0.00841642078012,0.0334609858692,0.00328608253039,0.00458712689579,-0.00606800615788
2017-11-22,1446.5,1349.0,939.0,2161.0,1170.0,487.36673,187.427628,1317.11438,260.700012,7265.0,4287.98291,323.200012,1279.883789,3513.229492,298.299988,610.730896,230.399994,3065.020996,6492.0,8540.0,65.900002,-0.00757576385513,0.0423985086381,-0.0100662810728,0.00138925330248,0.017241826281,0.00715621607378,0.0,0.00519876973704,0.00268872384913,0.0138602862135,0.0,-0.00893273204565,-0.000383808335755,0.0166532173753,-0.0053494349122,0.00324413878843,0.0161893069744,0.00159612996504,0.0141164353117,-0.02314918302,0.00273520848714
2017-11-23,1450.5,1350.0,941.0,2167.0,1179.0,490.352509,186.981842,1342.480957,259.700012,7255.0,4332.443359,324.899994,1282.831665,3543.20752,298.700012,611.225403,228.800003,3070.398438,6420.0,8535.0,65.720001,0.00276148156263,0.00074096879689,0.0021276473999,0.00277265626937,0.00766290165484,0.00610771356151,-0.00238129682839,0.0190761033446,-0.00384317291901,-0.00137739826459,0.0103152003139,0.00524608651176,0.00230059423484,0.0084966821596,0.00134008703753,0.000809341901913,-0.00696864258498,0.00175286596641,-0.011152535677,-0.000585667905398,-0.00273517961614
